capture_id,pcap_file,pcap_path,status,packet_count,flow_count,tshark_packet_count,validation_status,validation_errors,error_message
exp_107_mixed_transport_aes_gcm_16_128_1789046907,exp_107_mixed_transport_aes_gcm_16_128_1789046907.pcapng,raw_pcapng/exp_107_mixed_transport_aes_gcm_16_128_1789046907.pcapng,SUCCESS,42,3,42,PASSED,,
exp_108_mixed_tunnel_aes_cbc_256_1789046954,exp_108_mixed_tunnel_aes_cbc_256_1789046954.pcapng,raw_pcapng/exp_108_mixed_tunnel_aes_cbc_256_1789046954.pcapng,SUCCESS,50,10,50,PASSED,,
exp_109_mixed_transport_aes_cbc_128_1789046999,exp_109_mixed_transport_aes_cbc_128_1789046999.pcapng,raw_pcapng/exp_109_mixed_transport_aes_cbc_128_1789046999.pcapng,SUCCESS,55,3,55,PASSED,,
exp_110_mixed_tunnel_3des_cbc_1789047044,exp_110_mixed_tunnel_3des_cbc_1789047044.pcapng,raw_pcapng/exp_110_mixed_tunnel_3des_cbc_1789047044.pcapng,SUCCESS,43,8,43,PASSED,,
exp_111_mixed_transport_3des_cbc_1789047087,exp_111_mixed_transport_3des_cbc_1789047087.pcapng,raw_pcapng/exp_111_mixed_transport_3des_cbc_1789047087.pcapng,SUCCESS,30,1,30,PASSED,,
exp_112_mixed_tunnel_aes_gcm_16_256_1789047132,exp_112_mixed_tunnel_aes_gcm_16_256_1789047132.pcapng,raw_pcapng/exp_112_mixed_tunnel_aes_gcm_16_256_1789047132.pcapng,SUCCESS,60,9,60,PASSED,,
exp_113_mixed_transport_aes_gcm_16_128_1789047175,exp_113_mixed_transport_aes_gcm_16_128_1789047175.pcapng,raw_pcapng/exp_113_mixed_transport_aes_gcm_16_128_1789047175.pcapng,SUCCESS,30,3,30,PASSED,,
exp_114_mixed_tunnel_aes_cbc_256_1789047220,exp_114_mixed_tunnel_aes_cbc_256_1789047220.pcapng,raw_pcapng/exp_114_mixed_tunnel_aes_cbc_256_1789047220.pcapng,SUCCESS,51,10,51,PASSED,,
exp_115_mixed_transport_aes_cbc_128_1789047266,exp_115_mixed_transport_aes_cbc_128_1789047266.pcapng,raw_pcapng/exp_115_mixed_transport_aes_cbc_128_1789047266.pcapng,SUCCESS,48,3,48,PASSED,,
exp_116_mixed_tunnel_3des_cbc_1789047310,exp_116_mixed_tunnel_3des_cbc_1789047310.pcapng,raw_pcapng/exp_116_mixed_tunnel_3des_cbc_1789047310.pcapng,SUCCESS,43,8,43,PASSED,,
exp_117_mixed_transport_3des_cbc_1789047354,exp_117_mixed_transport_3des_cbc_1789047354.pcapng,raw_pcapng/exp_117_mixed_transport_3des_cbc_1789047354.pcapng,SUCCESS,29,2,29,PASSED,,
exp_118_mixed_tunnel_aes_gcm_16_256_1789047398,exp_118_mixed_tunnel_aes_gcm_16_256_1789047398.pcapng,raw_pcapng/exp_118_mixed_tunnel_aes_gcm_16_256_1789047398.pcapng,SUCCESS,64,9,64,PASSED,,
exp_119_mixed_transport_aes_gcm_16_128_1789047442,exp_119_mixed_transport_aes_gcm_16_128_1789047442.pcapng,raw_pcapng/exp_119_mixed_transport_aes_gcm_16_128_1789047442.pcapng,SUCCESS,34,3,34,PASSED,,
exp_120_mixed_tunnel_aes_cbc_256_1789047488,exp_120_mixed_tunnel_aes_cbc_256_1789047488.pcapng,raw_pcapng/exp_120_mixed_tunnel_aes_cbc_256_1789047488.pcapng,SUCCESS,53,10,53,PASSED,,
ikev2_aes128gcm_dh14_transport_video_1789041798,ikev2_aes128gcm_dh14_transport_video_1789041798.pcapng,raw_pcapng/ikev2_aes128gcm_dh14_transport_video_1789041798.pcapng,SUCCESS,827,3,827,PASSED,,
ikev2_aes256gcm_dh14_tunnel_voip_1789041749,ikev2_aes256gcm_dh14_tunnel_voip_1789041749.pcapng,raw_pcapng/ikev2_aes256gcm_dh14_tunnel_voip_1789041749.pcapng,SUCCESS,435,4,435,PASSED,,
